date,symbol,side,entry,stop,target,exit,box_hi,box_lo,rr_planned,outcome,R
2025-11-21,BCHUSDT,short,495.1,501.95084999999995,474.0,501.95084999999995,486.9,474.0,3.0799097922156022,loss,-1.0867220855806223
2026-01-02,BTCUSDT,short,89571.68,89864.1096,88459.96,89864.1096,89482.51,88459.96,3.801667136295282,loss,-1.3675620251848608
2026-01-02,ETHUSDT,short,3075.0,3084.271365,3020.79,3084.271365,3066.66,3020.79,5.847035468887234,loss,-1.397999647301123
2026-01-02,SOLUSDT,short,128.99,129.494715,126.82,129.494715,128.57,126.82,4.299456128706293,loss,-1.3066839701613755
2026-01-02,BNBUSDT,short,878.12,881.30043,865.26,881.30043,872.27,865.26,4.043478397575173,loss,-1.3313212364365823
2026-01-02,XRPUSDT,short,1.9197,1.9261625999999998,1.8874,1.9261625999999998,1.9109,1.8874,4.997988425711111,loss,-1.3564571534676515
2026-01-02,DOGEUSDT,short,0.13504,0.13574783999999998,0.12955,0.13574783999999998,0.13457,0.12955,7.755990054249679,loss,-1.2289330922242354
2026-01-02,ADAUSDT,short,0.3689,0.37038509999999997,0.3609,0.37038509999999997,0.3677,0.3609,5.386842636859615,loss,-1.2980809373106266
2026-01-02,LINKUSDT,short,13.07,13.136565000000001,12.82,13.136565000000001,13.02,12.82,3.7557274844136943,loss,-1.2356193194621776
2026-01-05,BTCUSDT,short,93386.15,93575.774505,92407.13,93575.774505,93349.66,92407.13,5.162940306686579,loss,-1.5909752012272893
2026-01-05,XRPUSDT,short,2.1535,2.1608799,2.1181,2.1608799,2.1461,2.1181,4.796812964945557,loss,-1.3501673464410247
2026-01-05,ADAUSDT,short,0.4112,0.41450715,0.3992,0.41450715,0.4084,0.3992,3.6285018822853754,loss,-1.1492039973995745
2026-01-05,LINKUSDT,short,13.63,13.686839999999998,13.44,13.686839999999998,13.62,13.44,3.342716396903755,loss,-1.2877551020408287
2026-01-05,NEARUSDT,short,1.758,1.7658824999999998,1.722,1.7658824999999998,1.751,1.722,4.567078972407356,loss,-1.2676308277830708
2026-01-06,DOGEUSDT,long,0.15285,0.15213389500000002,0.15579,0.15213389500000002,0.15579,0.15324,4.105543181516705,loss,-1.2561356225693179
2026-01-07,BTCUSDT,long,91325.76,91124.93474000001,92074.47,91124.93474000001,92074.47,91353.39,3.728166466708764,loss,-1.5457028264273585
2026-01-07,ETHUSDT,long,3158.62,3151.36353,3203.96,3151.36353,3203.96,3166.14,6.248217108318692,loss,-1.5223399256112269
